pricePerSqm,latitude,longitude,rooms,buildingMaterial,type,buildYear,hasElevator,hasBalcony,condition,hasParkingSpace,squareMeters,hasSecurity,floorCount,floor,hasStorageRoom
21728.260869565216,52.2259777,21.03966581,3.0,concreteSlab,blockOfFlats,1967.0,yes,yes,not known,no,46.0,no,10.0,2.0,yes
23382.978723404256,52.2316837,21.0153913,2.0,concreteSlab,blockOfFlats,1960.0,yes,yes,not known,no,47.0,no,6.0,3.0,yes
23918.46921797005,52.1842458,21.042709,3.0,brick,blockOfFlats,2024.0,yes,yes,not known,no,48.08,no,2.0,2.0,no
13313.725490196079,52.3148647,21.05644132,2.0,brick,blockOfFlats,2008.0,no,yes,premium,yes,51.0,no,3.0,3.0,yes
14705.882352941177,52.29786,20.94208,3.0,concreteSlab,blockOfFlats,1969.0,no,no,not known,no,51.0,no,4.0,4.0,no
13061.538461538461,52.2726107,20.9573486,3.0,concreteSlab,blockOfFlats,1976.0,yes,no,low,no,65.0,no,10.0,5.0,yes
13881.01983002833,52.3223,20.9599,2.0,brick,apartmentBuilding,2006.0,yes,yes,not known,no,35.3,yes,8.0,8.0,yes
19900.0,52.23044,20.99125,3.0,brick,apartmentBuilding,2023.0,no,no,not known,no,81.23,no,29.0,5.0,no
16225.0,52.22869,21.10752,2.0,brick,apartmentBuilding,2005.0,no,yes,not known,no,40.0,no,4.0,4.0,no
18333.333333333332,52.1965,21.03859,2.0,brick,blockOfFlats,1992.0,yes,no,not known,no,60.0,no,8.0,3.0,no
13703.125,52.17894,21.05193,3.0,concreteSlab,blockOfFlats,1977.0,yes,no,not known,no,64.0,no,10.0,9.0,no
19408.011343495215,52.19314,20.9325,3.0,brick,blockOfFlats,2023.0,yes,yes,not known,no,56.42,yes,6.0,6.0,no
14995.48906789413,52.19159,20.9081,4.0,brick,blockOfFlats,2009.0,yes,yes,not known,no,86.9,no,7.0,5.0,no
18821.2927756654,52.24477,20.97895,1.0,brick,blockOfFlats,1964.0,no,no,not known,no,26.3,no,4.0,2.0,yes
27545.219638242896,52.26030605,20.95953797,3.0,brick,blockOfFlats,2014.0,yes,yes,not known,no,58.05,no,6.0,1.0,yes
22115.384615384617,52.2043435,20.9965113,2.0,brick,apartmentBuilding,2006.0,yes,yes,not known,yes,52.0,no,7.0,4.0,no
